nom,circonscription,nuance,etiquette,sortant,d_naissance,age,mandats,profession,photo,lien,ordre,nombis
Joséphine Russo,1305,SE,SE,non,11/02/1958,64,Pas d'autre mandat connu,"Ancien artisan, commerçant, chef d'entreprise",https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Joséphine Russo
Marc de Bensason,1305,SE,SE,non,04/12/1981,40,Pas d'autre mandat connu,Personne diverse sans activité professionnelle de moins de 60 ans (sauf retraité),https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Marc de Bensason
Vannina Paganini,1305,SE,SE,non,11/06/1975,46,Pas d'autre mandat connu,Cadre de la fonction publique,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Vannina Paganini
Mourad Belaïd,1305,SE,SE,non,26/06/1978,43,Pas d'autre mandat connu,Cadre administratif et commercial d'entreprise,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Mourad Belaïd
Djamel Didoune,1305,SE,SE,non,23/02/1961,61,Pas d'autre mandat connu,"Professeur des écoles, instituteur et assimilé",https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Djamel Didoune
Georges Vinapon,1305,SE,SE,non,22/04/1963,59,Pas d'autre mandat connu,Profession libérale,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Georges Vinapon
Quentin Vincetti,1305,SE,SE,non,08/01/1996,26,Pas d'autre mandat connu,Chef d'entreprise de 10 salariés ou plus,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Quentin Vincetti
Anne Chamayou,1305,SE,SE,non,22/09/1976,45,Pas d'autre mandat connu,Ingénieur et cadre technique d'entreprise,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Anne Chamayou
Eddie Goultine,1306,SE,SE,non,19/03/1994,28,Pas d'autre mandat connu,Chef d'entreprise de 10 salariés ou plus,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Eddie Goultine
Michel Joubert,1306,SE,SE,non,24/08/1950,71,Pas d'autre mandat connu,Profession libérale,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Michel Joubert
Sophie Goy,1306,SE,SE,non,11/11/1971,50,Pas d'autre mandat connu,Profession intermédiaire administrative et commerciale des entreprises,https://drive.google.com/file/d/1qSmB6dbmVfX-rUv0FJvqabBvwQtwdCu6/view?usp=sharing,,,Sophie Goy
Fazia Hamiche,1306,SE,SE,non,15/09/1970,51,Pas d'autre mandat connu,Commerçant et assimilé,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Fazia Hamiche
Clara-Maria Laredo,1306,SE,SE,non,09/06/2003,18,Pas d'autre mandat connu,Personne diverse sans activité professionnelle de moins de 60 ans (sauf retraité),https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Clara-Maria Laredo
Dominique Laumonier,1306,SE,SE,non,06/04/1966,56,Pas d'autre mandat connu,Ingénieur et cadre technique d'entreprise,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Dominique Laumonier
Ali Amouche,1307,SE,SE,non,23/05/1964,58,Pas d'autre mandat connu,Personne diverse sans activité professionnelle de moins de 60 ans (sauf retraité),https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Ali Amouche
Karima Zerouali,1307,SE,SE,non,14/10/1977,44,Pas d'autre mandat connu,"Professeur, profession scientifique",https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Karima Zerouali
François Prové,1307,SE,SE,non,04/02/1991,31,Pas d'autre mandat connu,Profession intermédiaire de la santé et du travail social,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,François Prové
Nadia Mersali,1307,SE,SE,non,26/07/1968,53,Pas d'autre mandat connu,Cadre de la fonction publique,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Nadia Mersali
Sandrine Bové,1307,SE,SE,non,30/07/1964,57,Pas d'autre mandat connu,Profession libérale,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Sandrine Bové
Jacobine Meuche,1307,SE,SE,non,07/02/1966,56,Pas d'autre mandat connu,"Professeur, profession scientifique",https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Jacobine Meuche
Nourdine Chabouni,1307,SE,SE,non,08/12/1967,54,Pas d'autre mandat connu,Ingénieur et cadre technique d'entreprise,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Nourdine Chabouni
Sophie Imbert,1308,SE,SE,non,09/04/1973,49,Pas d'autre mandat connu,Commerçant et assimilé,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Sophie Imbert
Boualam Aksil,1308,SE,SE,non,29/12/1960,61,Pas d'autre mandat connu,Ancien employé,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Boualam Aksil
Daniel Mehl,1308,SE,SE,non,30/01/1949,73,Pas d'autre mandat connu,Personne diverse sans activité professionnelle de 60 ans et plus (sauf retraité),https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Daniel Mehl
Edith Galharague,1308,SE,SE,non,16/11/1950,71,Pas d'autre mandat connu,Ancien employé,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Edith Galharague
Simon Lachique,1309,SE,SE,non,02/10/1971,50,Pas d'autre mandat connu,Profession libérale,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Simon Lachique
