Monument,Adresse,Longitude,Latitude,Source
Immeuble,"47 place de la Carrière
",48.696322,6.180882,https://www.pop.culture.gouv.fr/notice/merimee//PA00106176
Hotel Here,"49 place de la Carrière60 Grande-Rue
",48.696438,6.180781,https://www.pop.culture.gouv.fr/notice/merimee//PA00106306
Palais Gouvernement,"Hémicycle du Général De Gaulle
",48.697,6.1809,https://www.pop.culture.gouv.fr/notice/merimee//PA00106305
Maison Houot,"7 rue de Chanzy
",48.689972,6.178333,https://www.pop.culture.gouv.fr/notice/merimee//PA00106177
Banque Charles Renauld,"9 rue de Chanzy58 rue Saint-Jean
",48.689722,6.178611,https://www.pop.culture.gouv.fr/notice/merimee//PA00106178
Immeuble,"14 rue de la Charité
",48.695677,6.178635,https://www.pop.culture.gouv.fr/notice/merimee//PA00106179
Hotel Lenoncourt,"18 rue de la Charité
",48.69559,6.178452,https://www.pop.culture.gouv.fr/notice/merimee//PA00106180
Maison Gaudin,"97 rue Charles III
",48.688638,6.190444,https://www.pop.culture.gouv.fr/notice/merimee//PA00106182
Immeuble Weissenburger,"1 boulevard Charles V
",48.698387,6.174933,https://www.pop.culture.gouv.fr/notice/merimee//PA00106181
Hotel Lillebonne,"14 rue du Cheval-Blanc
",48.695259,6.178302,https://www.pop.culture.gouv.fr/notice/merimee//PA00106183
Maison Schott,"6 quai Choiseul
",48.701326,6.168874,https://www.pop.culture.gouv.fr/notice/merimee//PA00132628
Villa Lang,"1 boulevard Georges-Clemenceau, Saurupt
",48.678667,6.180417,https://www.pop.culture.gouv.fr/notice/merimee//PA00132636
Immeuble Georges Biet,"22 rue de la Commanderie
",48.6867,6.1714,https://www.pop.culture.gouv.fr/notice/merimee//PA00106187
Pharmacie Jacques,"33 rue de la Commanderie55 rue Jeanne-d'Arc
",48.686601,6.171454,https://www.pop.culture.gouv.fr/notice/merimee//PA00106188
Immeuble,"4 rue des Dominicains
",48.692749,6.182816,https://www.pop.culture.gouv.fr/notice/merimee//PA00132630
Maison Adam,"57 rue des Dominicains
",48.691543,6.183946,https://www.pop.culture.gouv.fr/notice/merimee//PA00106295
Hotel Raigecourt,"78 place du Colonel-Driant
",48.691924,6.187529,https://www.pop.culture.gouv.fr/notice/merimee//PA00106189
Maison Peuple,"2 rue Drouin
",48.6918,6.1882,https://www.pop.culture.gouv.fr/notice/merimee//PA00106442
Immeuble,"1 rue du Duc-Antoine
",48.695757,6.180531,https://www.pop.culture.gouv.fr/notice/merimee//PA00106190
Hotel Ligneville,"23 Grande-Rue
",48.697483,6.178729,https://www.pop.culture.gouv.fr/notice/merimee//PA00106119
Hotel Ludres,"11 place du Colonel-Fabien
",48.695128,6.179456,https://www.pop.culture.gouv.fr/notice/merimee//PA00106120
Immeuble,"12 place du Colonel-Fabien
",48.695142,6.180215,https://www.pop.culture.gouv.fr/notice/merimee//PA00106185
